;Hidro-SP/PIE;Hidro-APE;Hidro-TOTAL;Termo-SP/PIE;Termo-APE;Termo-TOTAL;Eolica-SP/PIE;Eolica-APE;Eolica-TOTAL;Solar-SP/PIE;Solar-APE;Solar-TOTAL;Nuclear-SP/PIE;Total-SP/PIE;Total-APE;Total-TOTAL
1993;47967.0;624.0;48591.0;4127.5;2847.0;6974.5;0.075;0.0;0.075;;;0.0;657;52751.575;3471.0;56222.575
1994;49297.0;624.0;49921.0;4150.5;2900.0;7050.5;1.075;0.0;1.075;;;0.0;657;54105.575;3524.0;57629.575
1995;50680.0;687.0;51367.0;4196.5;2900.0;7096.5;1.075;0.0;1.075;;;0.0;657;55534.575;3587.0;59121.575
1996;52432.0;687.0;53119.0;4104.5;2920.0;7024.5;1.075;0.0;1.075;;;0.0;657;57194.575;3607.0;60801.575
1997;53987.0;902.0;54889.0;4505.5;2920.0;7425.5;1.075;0.0;1.075;;;0.0;657;59150.575;3822.0;62972.575
1998;55857.0;902.0;56759.0;4792.5;2995.0;7787.5;6.075;0.0;6.075;;;0.0;657;61312.575;3897.0;65209.575
1999;58085.0;912.0;58997.0;5198.0;3309.0;8507.0;18.8;0.0;18.8;;;0.0;657;63958.8;4221.0;68179.8
2000;60095.0;968.0;61063.0;6548.0;4075.0;10623.0;19.025;0.0;19.025;;;0.0;1966;68628.025;5043.0;73671.025
2001;61438.772275802505;970.2277241974953;62409.0;6750.960191354861;3730.039808645139;10481.0;21.0;0.0;21.0;;;0.0;1966;70176.73246715736;4700.267532842634;74877.0
2002;63323.930180214666;1150.0698197853349;64474.0;9714.235745468977;4098.764254531023;13813.0;22.0;0.0;22.0;;;0.0;2007;75066.1837634139;5248.8162365861135;80315.0
2003;66493.68999749237;1204.3100025076335;67698.0;11291.869125306832;4838.130874693169;16130.0;22.0;0.0;22.0;;;0.0;2007;79814.5591227992;6042.440877200803;85857.0
2004;67659.15935013551;1428.8406498644906;69088.0;14404.518326996198;5151.481673003803;19556.0;27.176419213973798;1.823580786026201;29.0;;;0.0;2007;84096.87477780483;6582.125222195168;90679.0
2005;69472.46482351779;1587.5351764822108;71060.0;14626.521910777736;5143.478089222266;19770.0;27.176419213973798;1.823580786026201;29.0;;;0.0;2007;86132.18549428035;6732.814505719655;92865.0
2006;72006.44159982569;1671.5584001743086;73678.0;13886.244214343655;6485.7557856563435;20372.0;235.0;1.9999999999999998;237.0;;;0.0;2007;88135.66312682169;8159.336873178302;96294.99999999999
2007;73620.08453122764;3248.915468772359;76869.0;14205.759906213365;7023.240093786636;21229.0;245.20036429872496;1.7996357012750457;247.0;;;0.0;2007;90078.04480173973;10273.95519826027;100352.0
2008;74234.87312186978;3310.1268781302174;77545.0;14765.827308225218;8233.172691774784;22999.0;396.27156919513607;1.728430804863926;398.0;;;0.0;2007;91403.97199929012;11545.028000709865;102948.99999999999
2009;74852.60913192022;3757.3908680797717;78610.0;16276.61877606421;9074.497223935841;25351.116000000053;600.2008487690192;1.7991512309807332;602.0;;;0.0;2007;93736.42875675345;12833.687243246593;106570.11600000004
2010;76630.7876208013;4072.212379198709;80703.00000000001;17659.232344353342;12029.767655646656;29689.0;925.0043080224433;1.9956919775564803;926.9999999999998;0.8;;0.8;2007;97222.82427317709;16103.97572682292;113326.8
2011;78022.73877183629;4436.161228163706;82458.9;17905.63752631531;13337.189588954003;31242.827115269312;1422.9922000000001;2.0;1424.9922000000001;0.8;;0.8;2007;99359.16849815159;17775.35081711771;117134.5193152693
2012;79673.1814433957;4620.8185566043085;84294.00000000001;18558.295970522908;14219.74776947709;32778.043739999994;1890.0742599999999;1.8;1891.8742599999998;2.082;;2.082;2007;102130.63367391861;18842.366326081396;120973.0
2013;81212.71466495506;4805.475885044911;86018.19054999997;21426.17022;15102.305950000138;36528.47617000014;2199.766;1.9780000000000002;2201.744;2.082;2.8103400000000005;4.892340000000001;1990;106830.73288495505;19912.570175045046;126743.3030600001
2014;84330.0;4862.96219504491;89192.9621950449;21799.667579999998;16027.102420000001;37826.77;4885.671;2.01803;4887.6890300000005;6.08023;9.00025;15.08048;1990;113011.41881;20901.08289504491;133912.5017050449
2015;86766.0892549551;4884.1084450448925;91650.1977;21607.08492;17956.38684;39563.47176;7630.766000000001;1.9659999999982818;7632.732;6.0916484;15.25527;21.3469184;1990;118000.03182335512;22857.716555044888;140857.74837840002
2016;91981.79068695508;4943.20762304491;96924.99831;22101.1685;19173.70670999998;41274.875209999984;10121.976;1.96622;10123.94222;19.92155;3.83987;23.76142;1990;126214.85673695507;24122.720423044888;150337.57715999996
2017;95272.81134695507;5002.58878304491;100275.40012999998;21900.188591931626;19728.01964806837;41628.20823999999;12281.276640000002;1.96622;12283.242860000002;932.09076;3.2338700000000005;935.3246300000001;1990;132376.36733888672;24735.80852111328;157112.17586
2018;99108.03897695508;5031.34025304491;104139.37922999999;20725.197129999997;19797.63036;40522.827489999996;14388.32664;1.96622;14390.29286;1792.8884900000003;4.69177;1797.5802600000002;1990;138004.4512369551;24835.62860304491;162840.07984
2019;104000.6050669551;5057.5707330449295;109058.17580000003;21236.861629999996;19981.69996;41218.56159;15375.88664;1.96622;15377.85286;2463.5447999999997;9.887099999999716;2473.4318999999996;1990;145066.8981369551;25051.12401304493;170118.02215000003
2020;104205.34167695508;5065.79473304493;109271.13641;22827.404629999997;20229.694759999977;43057.099389999974;17129.19664000002;1.96622;17131.16286000002;3270.8286499999995;16.2855999999997;3287.114249999999;1990;149422.7715969551;25313.741313044906;174736.51291000002
2021;104317.35238195512;5032.725858044911;109350.07824000003;24109.171529999996;20757.15376;44866.32528999999;20769.11264;1.96622;20771.078859999998;4570.18436;62.0612;4632.24556;1990;155755.82091195512;25853.907038044912;181609.72795000003
